537,462,1.3144736842,2.1391862955,4,409,39,45153,2730,461,1,0,1,216,0,0.2842105263,0.4625267666,2,47050,0,66,0,2,96,82,1,0,7,5,0.0157894737,0.0256959315,3,161,1261,167762,1554975,0
537,462,1.3144736842,2.1391862955,4,409,39,45153,2730,461,1,0,1,216,0,0.2842105263,0.4625267666,2,47050,0,66,0,2,96,82,1,0,7,5,0.0157894737,0.0256959315,3,161,1261,167762,1554975,0
353,193,1.4444444444,2.7575757576,3,412,58,62678,4060,332,1,0,1,18,0,0.0476190476,0.0909090909,2,641,0,1,0,2,9,11,0,1,7,5,0.0317460317,0.0606060606,3,171,1337,178182,1646135,0
408,271,1.4539614561,2.4601449275,4,236,25,32560,1750,403,1,0,1,52,0,0.1113490364,0.1884057971,1,0,0,0,0,1,45,9,0,1,7,5,0.0256959315,0.0434782609,3,176,1347,183392,1675195,0
318,318,1.1605839416,1.9690402477,3,374,52,34762,3640,313,1,0,1,223,0,0.4069343066,0.6904024768,2,29660,0,31,0,2,108,75,0,1,7,5,0.0218978102,0.0371517028,3,182,1406,189644,1741977,0
594,517,1.4372574386,2.1283524904,4,542,101,74009,7070,465,1,0,1,172,0,0.2225097025,0.3295019157,2,39395,0,46,0,2,83,74,1,0,7,5,0.0155239327,0.0229885057,3,187,1447,194854,1789327,0
877,669,1.5727365209,2.2971768202,4,676,99,82166,6930,667,1,0,1,99,0,0.1007121058,0.147102526,2,37401,0,44,0,2,59,39,0,1,7,4,0.011190234,0.0163447251,3,192,1459,200064,1822410,0
453,453,1.4707792208,1.9781659389,3,536,73,99872,5110,344,1,0,1,156,0,0.2532467532,0.3406113537,2,20273,0,19,0,2,75,66,0,1,7,5,0.0194805195,0.0262008734,3,197,1500,205274,1869760,0
349,349,1.4819532909,1.9773371105,3,403,86,46614,6020,349,1,0,1,115,0,0.2441613588,0.3257790368,1,25102,0,67,0,1,68,50,0,1,7,4,0.0233545648,0.0311614731,3,208,1571,216736,1960730,0
656,656,1.6137761378,1.984871407,4,403,86,46614,6020,645,1,0,1,150,0,0.184501845,0.2269288956,2,25102,0,67,0,2,62,84,1,0,7,5,0.0147601476,0.0181543116,3,208,1571,216736,1960730,0
747,747,1.6526548673,1.9867021277,4,403,86,46614,6020,723,1,0,1,150,0,0.1659292035,0.1994680851,2,25102,0,67,0,2,65,80,1,0,7,5,0.0132743363,0.0159574468,3,208,1571,216736,1960730,0
454,229,1.1178396072,2.9188034188,4,490,92,76705,6440,423,1,0,1,150,0,0.2454991817,0.641025641,2,68591,0,65,0,2,99,37,0,1,7,5,0.0196399345,0.0512820513,3,226,1708,235492,2123321,0
593,291,0.9650655022,2.9864864865,4,713,115,97150,8050,562,1,0,1,316,0,0.3449781659,1.0675675676,2,74761,0,72,0,2,159,108,1,0,7,5,0.0131004367,0.0405405405,3,233,1764,242786,2187903,0
448,385,1.3306709265,2.1358974359,4,472,65,60979,4550,367,1,0,1,171,0,0.2731629393,0.4384615385,2,17279,0,28,0,2,71,89,1,0,7,5,0.0191693291,0.0307692308,3,237,1804,246954,2234013,0
400,326,1.7042253521,2.2,3,573,127,124529,8890,397,1,0,1,19,0,0.044600939,0.0575757576,1,11109,0,21,0,1,11,10,0,1,7,4,0.0258215962,0.0333333333,3,245,1836,255290,2292703,0
383,351,1.1781701445,2.0617977528,4,486,118,98882,8260,383,1,0,1,233,0,0.3739967897,0.654494382,2,15593,0,42,0,2,94,105,0,1,7,5,0.0192616372,0.0337078652,3,250,1882,260500,2341695,0
556,428,1.2361809045,2.272517321,4,544,135,103442,9450,525,1,0,1,233,0,0.2927135678,0.5381062356,2,15593,0,42,0,2,103,98,1,0,7,5,0.0150753769,0.0277136259,3,255,1917,265710,2385505,0
355,235,1.4676616915,2.4583333333,4,419,54,34293,3780,324,1,0,1,40,0,0.0995024876,0.1666666667,2,15593,0,42,0,2,27,14,0,1,7,5,0.0298507463,0.05,3,260,1952,270920,2429315,0
292,123,0.9325842697,3.2421875,4,303,10,23666,700,241,1,0,1,148,0,0.3325842697,1.15625,2,18422,0,48,0,2,68,51,0,1,5,5,0.0224719101,0.078125,2,270,2005,281340,2508536,0
265,257,1.1783295711,1.9923664122,4,329,38,41926,2660,226,1,0,1,171,0,0.3860045147,0.6526717557,2,18422,0,48,0,2,66,66,0,1,7,5,0.0270880361,0.0458015267,3,275,2046,286550,2554950,0
255,149,1.2242424242,2.6405228758,4,315,33,36880,2310,216,1,0,1,68,0,0.2060606061,0.4444444444,2,18422,0,48,0,2,49,14,0,1,7,4,0.0333333333,0.0718954248,3,279,2080,290718,2597718,0
260,147,1.0940860215,2.6776315789,4,316,41,35052,2870,218,1,0,1,105,0,0.2822580645,0.6907894737,1,0,0,0,0,1,53,39,0,1,7,5,0.0322580645,0.0789473684,3,284,2115,295928,2641528,0
295,295,1.1683168317,1.9732441472,3,230,18,24012,1260,203,1,0,1,203,0,0.401980198,0.6789297659,1,40550,0,50,0,1,74,78,1,0,7,4,0.0217821782,0.0367892977,3,289,2144,301138,2684224,0
407,406,1.1031207598,1.9781021898,4,410,51,40592,3570,288,1,0,1,323,0,0.4382632293,0.7858880779,2,94449,0,148,0,2,125,126,1,0,7,5,0.0162822252,0.0291970803,3,294,2189,306348,2733028,0
345,314,1.3206412826,2.072327044,4,381,64,47078,4480,345,1,0,1,147,0,0.2945891784,0.4622641509,1,10512,0,18,0,1,83,57,0,1,7,4,0.0220440882,0.034591195,3,304,2261,316768,2821828,0
